Name,Total_Donated
Miller Inc,217
Barry Group,179
"Evans, Wright and Mitchell",158
Smith Group,150
Campbell LLC,145
Nelson LLC,142
Ruiz-Oneal,140
Blankenship-Lewis,124
Kelly-Ware,123
Bradford-Martinez,121
Shepherd and Sons,116
Hampton-Lee,116
"Jones, Ortega and Rubio",115
Ortiz-Lee,114
Johnson-Ray,113
Barker LLC,110
Moore Group,106
"Hill, Davis and Stewart",106
Steele Ltd,104
Butler-Richardson,104
"Lopez, Roach and Roach",102
"Hunter, Ballard and Caldwell",101
Carter-Jones,101
Hogan-Johnston,99
Cox LLC,99
Baker-Mcdonald,99
Wong-Reese,98
Jackson Ltd,98
Aguilar-Frederick,98
Schmidt-Alexander,97
"Phillips, Wolfe and Martin",97
Garcia-Hunter,97
"Rogers, Harmon and Gordon",96
"Jones, Rojas and Brown",96
Flores-Wade,96
"Clark, Prince and Williams",96
Brown-Stephens,96
Carey PLC,95
Wilson Group,94
Lambert Ltd,94
Miller Ltd,93
"Hudson, Spence and Perez",93
Doyle LLC,93
Schneider-Suarez,92
"Miller, Johnson and Fernandez",92
Coleman-Farley,92
"White, Crawford and Pearson",91
"Kelly, Cummings and Ward",90
Daniels-Kim,90
Cooper LLC,90
Rogers-Warren,89
Mckinney Ltd,88
Jones-Miller,88
Davis-Kennedy,88
Allen-Mccullough,88
"Young, Townsend and Mccarthy",87
Torres-Dunlap,87
"Rogers, Robbins and Cook",87
"Davis, Hughes and Leblanc",87
"Glover, Wilson and Hudson",86
"Cooper, Osborn and Clark",86
"Barnes, Castro and Curtis",84
Bowman LLC,83
"Smith, Lynch and Anderson",82
Rios Group,82
"Webb, Phillips and Garcia",81
"Pollard, Collins and Watson",81
Thompson Group,80
"Mcmillan, Gallegos and Perry",80
Todd Group,79
Maynard LLC,79
Lee PLC,79
Cook Group,79
Butler-Phillips,79
"Wilson, Harris and Mayo",78
Sanders-Hale,78
Pierce Group,78
"Petersen, Morrison and Woods",78
"Munoz, Stone and Wallace",78
Gonzales-Cochran,78
Zhang LLC,76
Nelson-White,75
Jones-Edwards,75
Barnes and Sons,75
Rowe-Arias,74
"Montgomery, Dominguez and Hopkins",74
Douglas and Sons,74
"Oliver, Ross and Johnson",73
Gonzales-Keith,73
Dixon LLC,73
Baird PLC,73
"Anderson, Nicholson and Bruce",73
Thompson-Kerr,72
Henry-Terry,72
Crane LLC,71
Jackson-Robinson,70
"Bray, Nguyen and Christensen",70
Smith-Paul,69
Porter Inc,69
Wilkerson-Woods,68
"Snyder, Caldwell and Campbell",68
Scott and Sons,68
Holland and Sons,68
Carr-Wells,68
Owens-Taylor,67
"Simpson, Mcguire and Brown",66
Aguilar Group,66
Smith-Villegas,65
"Roberts, Howard and Bender",65
"Lewis, Preston and Price",65
Cole LLC,65
Richardson Group,64
Morrison LLC,64
"Mitchell, Campbell and Jones",64
Johnson-Mejia,64
"Hood, Hoffman and Wright",64
"Davis, Sanchez and Mendez",64
"Davila, Green and Avila",64
"Bennett, Phillips and Green",64
Barrera-Ward,64
"Rodriguez, Thomas and Foster",63
"Moore, Perez and Young",63
"Cooper, Smith and King",63
Bruce Inc,63
Stephens-Braun,62
Long-Alexander,62
Glass Inc,62
Brown Ltd,62
Baker Group,62
"Phelps, Graham and Hayes",61
"Mueller, Savage and Hudson",60
Chambers-Waters,60
Ayers LLC,60
Wright LLC,59
Smith-Turner,59
Holloway-Koch,59
Caldwell PLC,59
"Austin, Griffin and Ward",59
Hodge-Leblanc,58
Moody Ltd,57
Lambert-Wilson,57
Gray PLC,57
Rogers-Maldonado,56
Ramirez LLC,56
"Nguyen, Chan and Brown",56
"Wilson, Watkins and Moore",55
Smith-Morales,55
Rojas-Cook,55
Phelps-Schmidt,55
Meyer and Sons,55
"Martin, Tyler and Wilkerson",55
"Gutierrez, Anthony and Shannon",55
Hunt-Lee,54
Williams-Cox,53
"Nielsen, Johnson and Fuller",53
Dyer Group,53
Carlson-Mathis,53
"Reyes, Houston and Esparza",52
Reed LLC,52
"Morales, Wood and Cox",52
"Hanson, Wilkerson and Lee",52
Beck Inc,52
"Spears, Anderson and Huffman",51
Small Ltd,51
Rose-Pearson,51
Woodward-Jensen,50
Schmidt Ltd,50
"Rodriguez, Walker and Singleton",50
"Oliver, Cross and Gilbert",50
Nelson Ltd,50
"Lucas, Bush and Miller",50
"Horn, Johnson and Moore",50
"Hopkins, Mora and Green",50
"Hodge, Lee and Washington",50
"Gibbs, Green and Krause",50
Decker Group,50
"Anderson, Adams and Roberts",50
Wu LLC,49
"Peterson, Lee and Moore",49
Payne Inc,49
Parsons and Sons,49
Marshall Ltd,49
"Harris, Perez and Willis",49
Drake-Martinez,49
Cole-Stein,49
"Chapman, Barrett and Lopez",49
Bradley-Smith,49
"Allen, Ramsey and Cortez",49
Serrano-Lopez,48
Moreno-Melton,48
Martinez-Young,48
Martinez-Graham,48
Manning Ltd,48
Lopez-Duffy,48
Larson and Sons,48
"Holland, Caldwell and Oliver",48
Galvan Ltd,48
Farmer Ltd,48
Brown and Sons,48
"Brock, Newton and Mccormick",48
"Bowers, Gonzalez and Simmons",48
Vega Ltd,47
Salazar PLC,47
"Roth, Estrada and Vang",47
Morgan-Blackwell,47
King-Snyder,47
Johnson-Green,47
Jenkins-Brooks,47
Garza-Williams,47
"Fuller, Vincent and Fernandez",47
"Burke, Yates and Hicks",47
"Barry, Powers and White",47
"Abbott, Brooks and Moreno",47
Williams Ltd,46
Lawrence-Clark,46
Johnston Ltd,46
Hammond LLC,46
"Dennis, Parker and Sanchez",46
Chan-Elliott,46
"Barker, Gibbs and Lopez",46
Ayala LLC,46
Atkins Group,46
Taylor Group,45
Perez-Williams,45
"Miranda, Wilcox and Short",45
Hughes-Jackson,45
Graham-Peters,45
Clark-Taylor,45
Blair Group,45
Black Group,45
Berry-Mack,45
"West, Martinez and Warren",44
Shepherd Group,44
Pearson-Barry,44
Moore-Flowers,44
"Harper, Blake and Alexander",44
Gamble-Davis,44
Brown-Butler,44
Andrews-Wiley,44
Abbott-Robinson,44
"Sullivan, Thornton and Peterson",43
Roy-Hancock,43
"Robinson, Schaefer and Foster",43
Jordan LLC,43
"House, James and Miller",43
Figueroa-Soto,43
"Ferguson, Henderson and Watson",43
Wright-Hogan,42
Wilkerson and Sons,42
"Ward, Shepherd and Krause",42
Thomas-Flores,42
Roberts Group,42
Mullins Ltd,42
"Mills, Smith and Martin",42
Koch Inc,42
Ibarra and Sons,42
Hill PLC,42
Cole-Ochoa,42
Chan PLC,42
"Ballard, Stanley and Hill",42
"Baker, Gardner and Callahan",42
Alvarado LLC,42
Williams Inc,41
Webster and Sons,41
"Stewart, Rocha and Torres",41
Hicks Ltd,41
"Fisher, Hernandez and Webster",41
Elliott-Jones,41
Combs Ltd,41
Williams-Boyle,40
Taylor-Lyons,40
Stephens-Stephens,40
Simmons Ltd,40
Roth-Mathews,40
"Rocha, Johnson and Dunlap",40
Martin-Wright,40
Gutierrez LLC,40
Ball-Church,40
Baker LLC,40
Turner-Woods,39
Trevino Ltd,39
"Sutton, Day and Brooks",39
Ramos Group,39
"Pierce, Walsh and Rogers",39
"Miller, Braun and Graham",39
"Lopez, Davis and Duncan",39
Harrison-Wilson,39
"Hall, Nguyen and Martinez",39
Galloway-Henderson,39
"Clark, Evans and Navarro",39
Blair LLC,39
"Wagner, Cole and Thompson",38
Torres Ltd,38
Smith Inc,38
Rosario-Porter,38
Ramos and Sons,38
"Peters, Chase and Davis",38
Parker Group,38
Obrien-Carr,38
Lewis-Deleon,38
Frazier LLC,38
Elliott-Stephens,38
"Davies, Salas and Clark",38
Smith PLC,37
Simmons-Davis,37
Shields-Moore,37
Nelson and Sons,37
"Martinez, Johnson and Torres",37
"Johnson, Harris and White",37
Jenkins-Carpenter,37
Green LLC,37
"Daniel, Schroeder and Morse",37
Lee LLC,36
Knox and Sons,36
Kennedy-Johnston,36
"Jones, Allison and Ellison",36
Jimenez-Ramirez,36
Holmes-Schaefer,36
"Davis, Vaughan and Shepherd",36
Young-Luna,35
"Wolfe, Hull and Richardson",35
"Raymond, Kelly and Yates",35
Nichols-Barnes,35
Murphy-Boyd,35
Herrera LLC,35
Gonzalez Inc,35
Gentry and Sons,35
Douglas-Colon,35
Carpenter-Wright,35
Buck-Carey,35
"Scott, Johnson and Villa",34
Sanders and Sons,34
Preston-Smith,34
Orr Inc,34
"Miller, Conner and Clark",34
Mcbride-Rogers,34
Ibarra LLC,34
Hodges and Sons,34
"Gonzalez, Dunn and Oconnell",34
Gomez LLC,34
Fowler-Morgan,34
Yoder-Murray,33
Wilson-Cook,33
Wheeler-Galvan,33
Wells-Davis,33
Stewart-Soto,33
"Stewart, Cox and Tate",33
Randall-Wagner,33
Mcdonald-Howell,33
Mcdaniel-Morales,33
Jefferson Group,33
Hancock-Jackson,33
Fisher PLC,33
Davis-Hurley,33
"Davis, Sanchez and Hernandez",33
Carey-Ramos,33
Avery PLC,33
"Walter, Gonzales and Potter",32
"Spencer, Eaton and Young",32
Sherman-Garza,32
"Jones, Calderon and Finley",32
"Jackson, Shelton and Mayer",32
Gonzales Group,32
"Giles, Weiss and Brown",32
"Cruz, Lee and Fernandez",32
Cook-Rodriguez,32
Carey-Richardson,32
Williams-Aguirre,31
"Simpson, Thomas and Smith",31
Rodriguez and Sons,31
Patel Ltd,31
"Olson, Johnson and Figueroa",31
Mendoza LLC,31
"Lutz, Smith and Martin",31
Frederick LLC,31
Frazier-Sanders,31
Sanchez-Fisher,30
"Powers, Clark and Snyder",30
"Patterson, Harris and Kelly",30
Butler-Newman,30
"Boyd, Padilla and Simpson",30
Bates-Johnson,30
Whitney-Fields,29
"White, Hutchinson and Williams",29
Sherman-Baker,29
Shepherd-Yates,29
Patterson-Collins,29
"Page, Smith and Davis",29
Mitchell-Watson,29
"Davis, Bowen and Miller",29
Barber Ltd,29
"Tran, Douglas and Harvey",28
Sparks-Berry,28
Simmons-Mcdaniel,28
Rollins-Mclaughlin,28
Phillips-Bradley,28
Morse-Hoffman,28
Livingston Inc,28
Espinoza PLC,28
Adams-Meyer,28
Williams-Manning,27
Robinson PLC,27
"Pollard, Tyler and Davis",27
Patel and Sons,27
Johnson Group,27
Hines-Green,27
Graham PLC,27
"Flores, Jackson and Ford",27
"Davis, Cruz and Schaefer",27
Cruz Inc,27
"Cook, Jackson and Griffith",27
Wilson-Ortiz,26
Warren Group,26
Terry Inc,26
Peters-Johnson,26
"Hester, Bowers and Carpenter",26
Hawkins-Novak,26
Frey PLC,26
Avila Group,26
Townsend Inc,25
Russell-Summers,25
Rodriguez Inc,25
"Roberson, Marquez and Mcdowell",25
Miller-Carter,25
James Group,25
Hughes Ltd,25
Horn-House,25
Greene-Garcia,25
"Edwards, Johnson and Cross",25
"Williams, Simpson and Waters",24
Osborne LLC,24
Nelson PLC,24
Love-Montgomery,24
Beck Group,24
"Young, Moran and Morris",23
Rogers-Shaw,23
Nguyen-Tran,23
"Jackson, Gonzalez and Smith",23
"Herrera, Fritz and Banks",23
"Galloway, Hall and Oconnell",23
"Black, Montgomery and Hernandez",23
Anderson and Sons,23
Alexander PLC,23
Shannon Ltd,22
"Schwartz, Holland and Mccarthy",22
Nguyen-Parsons,22
"Moran, Mcmillan and Jones",22
Miller Group,22
Larson Ltd,22
Jones-Patterson,22
Huber Group,22
Hayes Inc,22
"Coleman, Williams and Nichols",22
Thompson-Ortiz,21
Thomas-Carpenter,21
Taylor-Matthews,21
Nguyen Inc,21
Moore LLC,21
Martinez PLC,21
"Lee, Walker and Woodward",21
"Jackson, Miller and Porter",21
Fletcher Inc,21
Chan Group,21
Carroll-Stanley,21
Blanchard-Parsons,21
Austin-Yu,21
Sherman-Wolfe,20
Shaw Group,20
Mosley-Hernandez,20
Jones-Burnett,20
Johnson-Brown,20
"Freeman, Allen and Castaneda",20
Evans-Harrison,20
Villegas Inc,19
Rivera Ltd,19
Randolph-Bauer,19
Parsons Ltd,19
Hansen Inc,19
Glenn-York,19
"Cruz, Murphy and Santos",19
Burns-Davis,19
"Bryant, Jacobson and West",19
"Scott, Lopez and Baldwin",18
"Robinson, Rodriguez and Reilly",18
Mckinney LLC,18
Jones Group,18
Dunlap Inc,18
Davis and Sons,18
Cannon-Garcia,18
Bennett-Parker,18
Roach-Wheeler,17
"Parker, Macdonald and Espinoza",17
Olson Ltd,17
Mathews-Harrison,17
Jones PLC,17
"Hughes, Fuller and Sanchez",17
"Harris, Mcdonald and Taylor",17
Grant-Davis,17
Cross and Sons,17
Wright-Mcclure,16
"Spencer, Gibson and Arias",16
Pugh Group,16
Phillips PLC,16
Crosby Group,16
Calderon-Torres,16
Adams-Young,16
"Webb, Graves and Harrison",15
Vasquez LLC,15
Rodriguez LLC,15
"Oliver, Williams and Rich",15
"Jackson, Lee and Hodge",15
"Chung, Morris and Craig",15
Booker Ltd,15
Arroyo-Henderson,15
Yu-Rodriguez,14
Stone LLC,14
Phelps-Robbins,14
Oconnor Ltd,14
"Morris, Mcpherson and Edwards",14
"Mayer, Hawkins and Day",14
Lawrence LLC,14
"Harris, Santos and Roberts",14
"Greene, Wood and Hernandez",14
Gibson and Sons,14
Brown-Grimes,14
Bell-Newman,14
Simmons PLC,13
Pratt Ltd,13
Perkins Ltd,13
Miranda Ltd,13
"Lewis, Wagner and Solis",13
Jenkins-Carrillo,13
Henry PLC,13
"Goodwin, Acosta and Chan",13
"Gillespie, Foster and Boyd",13
Ortega-Webb,12
"Obrien, King and Robinson",12
Martinez and Sons,12
"Doyle, Clark and Campbell",12
Watson LLC,11
"Perry, Cabrera and Owens",11
Owens-Johnson,11
Morris Ltd,11
"Martin, Richardson and Snow",11
"Marquez, Reid and Kramer",11
Jackson LLC,11
"Anderson, Patrick and Scott",11
Reynolds Group,10
"Perry, Perez and Carter",10
"Morris, Mcintyre and Austin",10
Mitchell PLC,10
Henderson Group,10
Figueroa Inc,10
Fernandez-Bridges,10
Thompson-Turner,9
Smith-Thomas,9
"Jackson, Howe and Gentry",9
"Harrington, Jimenez and Carr",9
"Floyd, Jones and Alvarado",9
"Black, Collins and Richard",9
Allen LLC,9
"Walker, Brennan and Townsend",8
"Villegas, Chen and Campos",8
Turner-Ramirez,8
"Pollard, Yoder and Martin",8
Johnson PLC,8
Callahan-Olsen,8
Brooks-Mccarty,8
"Bishop, Martinez and Robinson",8
"Bender, Jordan and Bennett",8
"Smith, James and Alvarado",7
Novak Group,7
"Newman, Pearson and Mccarthy",7
"Myers, Kelley and Riley",7
Mendoza-Espinoza,7
Maldonado-Davis,7
Lyons Inc,7
House-Bates,7
Hogan-Oliver,7
"Warner, White and Morris",6
Murray Inc,6
"King, Schneider and Banks",6
Johnson-Farley,6
Hall-Barnett,6
Graham and Sons,6
Cox-Mcintyre,6
Bennett Inc,6
"Smith, Glover and Mcintyre",5
Shah Group,5
"Schwartz, Odonnell and Padilla",5
Patterson Inc,5
Parker-Campbell,5
Howard-Williams,5
"Freeman, Decker and Johnson",5
Conway-Barr,5
Chandler-Roberts,5
"Allen, Zimmerman and Harrington",5
Wilson-Brown,4
Williams-Strong,4
Williams and Sons,4
Stanley PLC,4
Foster Ltd,4
Cook Ltd,4
Clark-Estes,4
"Butler, Kennedy and Cowan",4
Blackwell Ltd,4
Andrews Inc,4
Snyder Ltd,3
Sanchez PLC,3
Reid-Johnson,3
Gallagher-Brown,3
Cunningham Ltd,3
Chase-Gross,3
Alexander-Mendoza,3
Young-Wu,2
Wong-Wilson,2
"Valencia, Floyd and Jordan",2
Simmons Group,2
Russell and Sons,2
Garner PLC,2
Cruz-Davis,2
Ayers-Lewis,2
"Anderson, Robinson and Phillips",2
Reyes and Sons,1
Norris-Townsend,1
Mcgee PLC,1
"Martinez, Armstrong and Carroll",1
Gonzales-Moore,1
